StAndId	Lat	Long	Lcounts
E223	369972	3000915	0
E221	369975	3000918	0
E210	369985	3000937	0
E219	369977	3000922	0
E212	369984	3000933	0
E217	369980	3000924	0
E215	369982	3000928	0
J122	371124	3000862	0
A325	371810	3001477	1
A324	371811	3001477	0
A319	371816	3001479	0
D121	369976	3001330	0
H324	369766	3000802	1
H325	369764	3000799	0
E216	369983	3000924	0
F320	371472	3001056	2
C111	371326	3001036	3
A124	371793	3001492	0
F315	371475	3001063	0
H321	369769	3000810	0
F316	371477	3001063	0
H225	369777	3000804	0
A35	371841	3001497	3
F321	371470	3001054	0
A33	371843	3001501	1
H224	369779	3000804	0
A311	371831	3001490	0
C110	371331	3001037	2
H320	369771	3000808	2
E225	369970	3000911	0
H318	369774	3000810	2
A310	371833	3001492	0
F318	371473	3001060	0
D322	369989	3001328	0
F322	371468	3001054	0
A312	371830	3001488	0
A36	371836	3001496	3
C19	371333	3001037	5
E222	369973	3000917	0
C113	371323	3001039	6
H319	369772	3000810	0
C12	371341	3001030	0
C18	371334	3001034	3
A317	371825	3001481	0
F323	371465	3001051	0
H223	369782	3000806	0
H317	369776	3000812	2
F324	371463	3001049	0
D317	369994	3001336	0
A316	371826	3001483	0
D318	369993	3001336	0
J225	371126	3000844	0
D323	369988	3001326	0
C15	371338	3001034	4
C115	371321	3001045	2
E218	369978	3000922	0
B310	370856	3001094	0
D313	370001	3001341	0
C11	371343	3001030	0
D311	370006	3001341	0
J321	371133	3000855	0
B315	370866	3001090	0
B318	370871	3001086	0
D312	370004	3001341	0
B323	370877	3001083	0
B35	370849	3001100	0
B313	370861	3001092	0
B317	370869	3001088	0
D315	369998	3001339	0
C215	371329	3001047	10
H219	369786	3000811	0
B37	370851	3001100	0
J311	371151	3000873	0
B314	370864	3001092	0
B33	370846	3001103	0
B38	370853	3001098	0
F219	371467	3001060	0
D39	370008	3001346	0
C114	371324	3001043	6
J320	371136	3000858	0
A318	371823	3001481	0
K11	371659	3000903	5
B324	370879	3001083	0
J318	371139	3000860	0
D36	370009	3001350	0
J38	371154	3000878	0
F224	371462	3001053	1
J319	371138	3000860	0
F225	371460	3001051	0
C16	371336	3001034	2
J315	371143	3000866	0
J325	371129	3000853	1
K24	371668	3000901	12
J323	371131	3000855	0
B217	370867	3001097	0
J37	371153	3000880	1
C119	371313	3001049	0
H221	369784	3000810	0
J314	371144	3000867	0
B319	370874	3001085	0
G315	370994	3001070	1
C118	371315	3001049	0
G319	371004	3001068	1
K120	371696	3000897	0
G325	371009	3001067	0
B39	370854	3001096	1
K23	371663	3000903	2
B325	370880	3001081	0
B34	370848	3001101	0
B312	370862	3001094	0
J34	371159	3000882	0
C120	371316	3001048	1
G314	370993	3001070	0
C214	371328	3001048	0
G316	370998	3001068	0
G317	370999	3001068	0
H37	369768	3000834	1
K110	371682	3000903	2
K111	371680	3000903	4
B223	370876	3001092	0
J223	371128	3000855	0
K115	371685	3000904	2
G313	370989	3001072	0
G323	371008	3001068	1
K124	371701	3000897	0
G310	370981	3001076	3
C117	371318	3001048	2
G312	370985	3001074	1
K119	371695	3000899	0
G39	370980	3001076	3
K18	371677	3000905	1
J36	371156	3000880	0
G318	371003	3001068	0
A26	371822	3001496	2
F310	371480	3001074	0
F36	371487	3001082	0
K14	371667	3000905	5
J29	371146	3000875	0
K16	371673	3000906	0
K26	371670	3000906	6
B218	370872	3001097	0
H116	369794	3000824	1
K118	371693	3000901	2
C324	371348	3001035	2
J313	371148	3000871	0
K32	371657	3000918	10
G34	370975	3001078	0
G37	370976	3001078	0
K27	371672	3000906	1
A114	371800	3001509	0
G223	371011	3001072	0
G33	370971	3001080	0
J316	371141	3000866	0
K38	371665	3000910	14
K210	371678	3000908	4
G26	370978	3001082	0
G224	371014	3001072	0
H214	369781	3000823	0
K116	371688	3000903	7
F32	371489	3001087	0
F35	371485	3001084	1
G320	371006	3001070	1
C322	371346	3001035	1
F38	371482	3001078	0
A119	371795	3001502	0
K17	371675	3000905	2
G17	370986	3001081	0
H120	369802	3000828	0
K325	371683	3000914	1
A322	371813.1	3001475.1	2
F317	371475.1	3001063.1	0
F319	371473.1	3001060.1	0
B316	370866.1	3001090.1	0
D314	370001.1	3001341.1	0
B320	370871.1	3001086.1	0
J39	371154.1	3000878.1	0
K123	371696.1	3000897.1	0
G311	370981.1	3001076.1	5
K122	371695.1	3000899.1	0
K19	371677.1	3000905.1	0
C325	371351.1	3001032.1	4
G36	370975.1	3001078.1	1
K121	371693.1	3000901.1	1
G225	371014.1	3001072.1	0
K314	371678.1	3000908.1	0
F39	371482.1	3001078.1	0
G211	370986.1	3001081.1	0
A212	371828.2	3001509.2	0
E316	369955.2	3000922.2	0
F122	371454.2	3001060.2	0
G216	370996.2	3001078.2	0
H314	369776.2	3000819.2	0
J310	371154.2	3000878.2	0
K117	371692.2	3000902.2	3
K217	371690.2	3000904.2	4
