Plot	ID	LAT	LONG	Count	num
a	A1	371810	3001522	4	1
a	A10	371813	3001481	0	2
a	A4	371793	3001496	1	3
a	A5	371812	3001490	0	4
a	A6	371817	3001501	1	5
a	A7	371827	3001503	1	6
a	A8	371835	3001510	0	7
b	B10	370841	3001113	7	8
b	B11	370856	3001118	2	9
b	B13	370846	3001122	9	10
b	B14	370830	3001118	19	11
b	B15	370841	3001100	3	12
b	B18	370871	3001081	6	13
b	B19	370877	3001105	1	14
b	B2	370858	3001109	12	15
b	B20	370863	3001118	8	16
b	B3	370864	3001103	24	17
b	B4	370869	3001103	10	18
b	B5	370886	3001103	13	19
b	B7	370867	3001094	23	20
b	B8	370858	3001098	6	21
b	B9	370849	3001105	5	22
c	C10	371346	3001037	27	23
c	C12	371336	3001037	16	24
c	C13	371351	3001041	29	25
c	C15	371335	3001056	29	26
c	C16	371321	3001058	21	27
c	C17	371320	3001069	16	28
c	C3	371323	3001052	16	29
c	C5	371307	3001060	22	30
c	C9	371339	3001041	18	31
d	D2	369978	3001367	10	32
d	D6	369991	3001350	3	33
d	D7	369998	3001350	3	34
d	D9	369998	3001369	4	35
e	E1	369969	3000946	4	36
e	E10	369977	3000953	6	37
e	E11	369985	3000964	8	38
e	E13	369990	3000952	19	39
e	E14	369994	3000944	17	40
e	E15	369992	3000937	2	41
e	E16	369980	3000948	10	42
e	E17	369975	3000939	21	43
e	E18	369975	3000933	8	44
e	E19	369959	3000932	8	45
e	E2	369970	3000937	9	46
e	E20	369969	3000955	18	47
e	E3	369965	3000928	11	48
e	E4	369974	3000926	16	49
e	E5	369980	3000931	2	50
e	E6	369984	3000937	6	51
e	E9	369985	3000959	4	52
f	F1	371477	3001095	4	53
f	F10	371474	3001095	4	54
f	F11	371493	3001085	1	55
f	F12	371490	3001097	2	56
f	F2	371494	3001091	2	57
f	F3	371480	3001076	4	58
f	F4	371480	3001067	13	59
f	F5	371470	3001062	4	60
f	F6	371469	3001071	5	61
f	F7	371459	3001073	5	62
f	F8	371465	3001080	9	63
f	F9	371484	3001087	1	64
g	G10	370988	3001074	5	65
g	G2	370998	3001074	3	66
g	G3	370985	3001087	8	67
g	G4	370973	3001089	12	68
g	G5	370970	3001085	14	69
g	G6	370971	3001076	5	70
g	G7	371009	3001078	32	71
h	H1	369771	3000828	12	72
h	H11	369761	3000852	13	73
h	H12	369759	3000841	17	74
h	H13	369766	3000832	22	75
h	H14	369774.1	3000834.1	19	76
h	H15	369776	3000836	18	77
h	H17	369779	3000813	22	78
h	H18	369777	3000804	17	79
h	H19	369771	3000806	7	80
h	H2	369774	3000834	26	81
h	H3	369769	3000837	22	82
h	H4	369768	3000845	15	83
h	H5	369763	3000843	20	84
h	H6	369776	3000821	6	85
h	H7	369772	3000812	20	86
h	H8	369796	3000832	21	87
h	H9	369784	3000828	14	88
j	J1	371153	3000882	40	89
j	J10	371154	3000893	43	90
j	J11	371144	3000886	30	91
j	J12	371158	3000877	30	92
j	J13	371143.1	3000873.1	23	93
j	J14	371146	3000871	31	94
j	J15	371143	3000862	14	95
j	J16	371136	3000857	7	96
j	J17	371129	3000857	10	97
j	J18	371129	3000860	6	98
j	J19	371159	3000897	30	99
j	J2	371148	3000875	31	100
j	J20	371164	3000888	19	101
j	J4	371139	3000862	15	102
j	J5	371131	3000858	3	103
j	J6	371134	3000866	7	104
j	J7	371143	3000873	13	105
j	J8	371144	3000877	31	106
j	J9	371149	3000886	21	107
